,zpid,latitude,longitude,usecode,bathrooms,bedrooms,zipcode,price,lotSizeSqFt
10806,94640583,40.668627,-73.990358,Condominium,2.0,2,11215,1245645,0
10807,94640588,40.668627,-73.990358,Condominium,0.0,0,11215,616835,0
10808,94640591,40.668627,-73.990358,Condominium,1.0,0,11215,673135,0
10809,94640594,40.668627,-73.990358,Condominium,2.0,2,11215,1239204,0
10810,94716290,40.664851,-73.993214,Condominium,0.0,0,11215,746267,0
10811,94717670,40.664661,-73.993156,Condominium,1.0,2,11215,0,0
10812,94717647,40.668627,-73.990358,Condominium,0.0,0,11215,837390,0
10813,94716095,40.668521,-73.990692,Condominium,1.0,1,11215,634035,0
10814,94715747,40.668627,-73.990358,Condominium,0.0,0,11215,722420,0
10815,94640595,40.668627,-73.990358,Condominium,0.0,0,11215,803775,0
10816,94640593,40.668627,-73.990358,Condominium,2.0,2,11215,1248980,0
10817,94640592,40.668627,-73.990358,Condominium,2.0,2,11215,1245271,0
10818,94640590,40.668627,-73.990358,Condominium,0.0,0,11215,635740,0
10819,94640589,40.668627,-73.990358,Condominium,0.0,0,11215,650049,0
10820,94640587,40.668627,-73.990358,Condominium,0.0,0,11215,616835,0
10821,94640586,40.668627,-73.990358,Condominium,0.0,0,11215,821432,0
10822,112498819,40.644792,-74.014795,Condominium,0.0,0,11220,503189,0
10823,112077614,40.644792,-74.014795,MultiFamily2To4,2.0,2,11220,578150,0
10824,2085678404,40.646598,-74.011901,Condominium,1.0,1,11220,480757,0
10825,2085679234,40.646598,-74.011901,Condominium,1.0,1,11220,460266,0
10826,2096274794,40.648015,-74.011268,Apartment,1.0,3,11220,0,0
10827,2087134500,40.646598,-74.011901,Condominium,1.0,1,11220,458382,0
10828,30575214,40.64965,-74.009715,SingleFamily,0.0,0,11220,0,1600
10829,30575215,40.649607,-74.00976,SingleFamily,0.0,0,11220,0,1600
10830,30575216,40.649563,-74.009806,SingleFamily,0.0,0,11220,0,1600
10831,30575217,40.649517,-74.009853,SingleFamily,0.0,0,11220,0,1613
10832,30575243,40.649218,-74.009221,SingleFamily,0.0,0,11220,0,2500
10833,30575244,40.649265,-74.009172,MultiFamily2To4,1.0,3,11220,606186,1833
10834,30575246,40.649345,-74.009088,SingleFamily,0.0,0,11220,0,1833
10835,30575247,40.649419,-74.009011,Cooperative,0.0,0,11220,594255,5000
10836,30575248,40.649528,-74.008896,Cooperative,0.0,0,11220,588135,5016
10837,30575570,40.648992,-74.009444,SingleFamily,0.0,0,11220,0,2517
10838,2137123252,40.646222,-74.013283,VacantResidentialLand,0.0,0,11220,0,0
10839,30575823,40.648133,-74.010336,Duplex,0.0,0,11220,1549129,2050
10840,2130878301,40.640309,-74.0195,Unknown,0.0,0,11220,538898,0
10841,30575825,40.648261,-74.010203,Triplex,0.0,0,11220,1530290,2000
10842,30575826,40.648305,-74.010159,Triplex,0.0,0,11220,1530852,2000
10843,30575828,40.648392,-74.010068,SingleFamily,0.0,0,11220,0,2000
10844,30575829,40.648436,-74.010023,SingleFamily,0.0,0,11220,0,2017
10845,30576120,40.64801,-74.011426,Apartment,1.0,2,11220,0,1533
10846,30576121,40.647969,-74.011469,MultiFamily2To4,1.0,3,11220,594115,1520
10847,2085678404,40.646598,-74.011901,Condominium,1.0,1,11220,480757,0
10848,2085679234,40.646598,-74.011901,Condominium,1.0,1,11220,460266,0
10849,112498819,40.644792,-74.014795,Condominium,0.0,0,11220,503189,0
